,index,loan_amnt,int_rate,installment,home_ownership,annual_inc,verification_status,target,pymnt_plan,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_amnt,collections_12_mths_ex_med,policy_code,application_type,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_inq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,hardship_flag,debt_settlement_flag
66761,66761,5950,0.0702,183.78,RENT,45876,Source Verified,high_risk,n,21.48,0,0,8,1,2849,39,w,0,0,1100.36,1100.36,897.45,202.91,0,0,0,0,0,1,Individual,0,0,21651,1,2,1,3,8,18802,76,1,5,2062,56,14100,2,0,4,8,2706,6651,30,0,0,161,140,3,3,3,3,0,0,2,2,3,12,7,6,29,2,8,0,0,0,2,90,0,1,0,38952,21651,9500,24852,N,N
66829,66829,31900,0.143,747.23,RENT,100000,Not Verified,high_risk,n,20.75,5,0,6,0,6118,43,w,0,0,4420.02,4420.02,2068.63,2351.39,0,0,0,0,0,1,Joint App,0,0,35204,0,2,0,0,38,29086,36,1,1,6118,43,9500,0,0,0,1,5867,2182,73.7,0,0,173,409,8,8,0,39,24,5,1,1,2,27,5,4,38,1,6,0,0,5,1,78,50,0,0,76321,35204,8300,66821,N,N
66840,66840,16000,0.143,549.18,MORTGAGE,90000,Not Verified,high_risk,n,27.43,0,0,12,0,14371,34,w,0,0,536.47,536.47,269.52,266.95,0,0,0,0,0,1,Individual,0,0,591052,4,3,4,4,6,74622,87,4,5,7371,55,51500,8,1,9,11,49254,34733,29,0,0,73,139,2,2,2,2,5,0,4,5,7,17,8,8,24,5,12,0,0,0,9,100,14.3,0,0,639189,88993,48900,83189,N,N
66859,66859,25000,0.2305,968.4,MORTGAGE,240000,Not Verified,high_risk,n,13.93,0,0,10,0,47195,19,w,0,0,4247.55,4247.55,488.19,448.2,0,3311.16,596.0088,0,0,1,Individual,0,0,175467,0,1,1,1,11,128272,83,0,0,19026,90,52900,1,0,2,1,17547,3527,95.8,0,0,135,155,69,11,0,97,11,1,4,6,5,6,6,8,13,6,10,0,0,0,1,94.1,80,0,0,166706,175467,49300,113806,N,N
66893,66893,25000,0.124,561.18,OWN,90031,Source Verified,high_risk,n,26.31,0,1,11,0,11949,48,w,0,0,12252.17,12252.17,302.85,241.11,0,11708.21,2107.4778,0,0,1,Individual,0,0,42089,1,4,1,2,10,30140,38,1,2,1568,37,34000,4,8,12,8,3826,4832,24.5,0,0,252,162,11,3,12,22,3,0,1,4,3,10,16,7,20,4,11,0,0,0,4,100,0,0,0,106394,42089,6400,72394,N,N
66912,66912,16500,0.1612,581.07,MORTGAGE,168500,Not Verified,high_risk,n,32.77,0,0,23,0,64892,70,w,0,0,2890.57,2890.57,1451.52,857.98,0,581.07,104.5926,0,0,1,Individual,0,0,283775,0,3,2,2,9,79624,41,1,1,8922,64,82300,2,18,4,3,12338,5068,90.5,0,0,162,248,10,9,7,10,4,0,10,15,11,30,16,16,46,15,23,0,0,0,3,95.7,72.7,0,0,425053,153885,53100,106388,N,N
66927,66927,31000,0.0881,640.66,RENT,110000,Not Verified,high_risk,n,20.89,0,1,11,0,28043,13,w,0,0,5308.06,5308.06,829.17,436.98,0,4041.91,727.5438,0,0,1,Individual,0,0,59845,0,3,0,1,24,31802,49,0,0,8622,59,36000,0,3,1,1,5440,4157,87.1,0,0,86,63,30,24,0,30,6,0,5,5,6,7,4,8,9,5,11,0,0,0,0,100,66.7,0,0,100886,59845,32200,64886,N,N
66928,66928,16000,0.2565,475.74,MORTGAGE,66000,Not Verified,high_risk,n,26.02,0,2,15,0,9926,45,w,15503.18,15503.18,1880.16,1880.16,496.82,1383.34,0,0,0,0,0,1,Individual,0,0,557108,2,4,4,7,2,391967,95,0,1,2392,76,23800,4,0,7,9,39793,904,90.6,0,0,150,103,23,2,1,53,2,0,6,9,7,11,29,10,15,9,15,0,0,0,5,100,100,0,0,564415,401893,9600,384615,N,N
66965,66965,15000,0.1524,521.75,RENT,82500,Source Verified,high_risk,n,37.03,0,0,21,0,23959,25,w,12255.1,12255.1,4683.05,4683.05,2744.9,1938.15,0,0,0,521.75,0,1,Individual,0,0,98796,2,4,1,4,8,74837,83,4,6,4571,71,43200,3,2,2,10,5200,12015,64.2,0,0,60,70,4,4,0,4,8,0,10,12,12,12,7,17,18,12,21,0,0,0,5,100,45.5,0,0,134778,98796,33600,91578,N,N
66967,66967,11700,0.1862,301.07,RENT,41000,Verified,high_risk,n,37.35,0,2,14,1,4793,26,w,0,0,790.04,790.04,240.91,349.13,0,200,36,0,0,1,Individual,0,0,59670,2,3,2,3,6,54877,85,3,5,3018,66,25700,5,2,9,8,4262,4382,40.8,0,0,50,72,5,5,0,5,1,0,1,2,4,8,6,11,20,2,14,0,0,0,5,100,0,1,0,90332,59670,7400,64632,N,N
